,,,,,,Summary HI,,,,,,,,,,No CO & no OH:,,,,,,OK src:,,OH detection limit:,,Low-N(HI):,,,,,,,,,
,,,,,,,,,,,,,,,,21,,,,,,34,,0.003999,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,l,b,N(HI,er,N*(HI),er,CNM,er,WNM,er,E(B-V)SF2011,Er,Av,MS,SPONGE,HI,CO,OH,N(OH)67/e14,er,TauSig(1665),TauSig1667,Molecule,Observed-HI-only,Semi-atomic,No-Mol1,No-Mol2,low-N(HI),OK? Atomic,Note:,,"Cat1: No OH&CO detection, sigmaOH67<0.004:",,
64,P0347+05,182.2737,-35.7311,17.02,0.97,14.3416,0.881,9.23,0.95,7.79,0.1794,0.2384,0.0067,0.75,1,0,1,-1,0,0,0,0.00617326,0.00584949,0,0,1,0,0,0,0,,,,,
50,3C105,187.6326,-33.609,18.68,1.85,12.0033,0.7704,14.57,1.8354,4.11,0.2651,0.3973,0.0254,1.2716,1,0,1,1,1,0.4129,0.09861247,0.000753985,0.000818266,1,0,0,0,0,0,0,,,,,
91,3C147,161.6864,10.2984,20.59,1.95,19.1262,0.2988,7.44,1.7891,13.15,0.7815,0.2252,0.0067,0.6936,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
71,4C13.67,43.4971,9.154,21.36,1.1,17.2975,0.2088,5.28,0.9362,16.08,0.5836,0.5526,0.0138,1.685,1,0,1,1,1,1.5494,0.402,0.0106085,0.0137032,1,0,0,0,0,0,0,,,,,
51,3C120,190.3729,-27.3968,22.22,2.26,11.7434,0.1283,10.86,2.2433,11.36,0.2632,0.2554,0.0019,0.793,1,1,1,0,0,0,0,0.00308697,0.00282925,0,0,0,1,0,0,1,,,,,
53,3C123,170.5817,-11.661,24.55,4.8,19.2863,0.4344,5.15,4.4112,19.41,1.9026,0.8612,0.0252,2.6378,1,1,1,1,1,3.4854,0.527911,0.00127054,0.00129847,1,0,0,0,0,0,0,,,,,
20,3C109,181.828,-27.7769,26.29,1.26,17.6075,0.7426,19.6,0.9753,6.69,0.7964,0.5042,0.0319,1.5286,1,0,1,1,1,0.3305,0.08754542,0.000848053,0.000912486,1,0,0,0,0,0,0,,,,,
5,3C138,187.405,-11.3434,26.43,2.89,21.7788,0.3457,6.01,2.8343,20.42,0.5825,0.2537,0.0171,0.7798,1,1,1,0,0,0,0,0.000457871,0.000502496,0,0,0,1,0,0,1,,,,,
4,3C142.1,197.6157,-14.5115,27.84,2.9,21.7048,0.9149,10.37,2.8302,17.46,0.6516,0.2816,0.0145,0.8998,1,0,1,0,0,0,0,0.000947931,0.00105504,0,0,0,1,0,0,1,,,,,
87,PKS0531,186.7617,-7.1076,28.84,9.72,28.2709,0.568,8.39,9.6105,20.45,1.4837,0.3026,0.0085,0.9372,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
44,P0428+20,176.8082,-18.5568,30.15,3.11,22.2467,0.7483,8.74,3.0001,21.41,0.8171,0.457,0.0309,1.4395,1,0,1,1,1,0.4704,0.07555958,0.000589058,0.000607032,1,0,0,0,0,0,0,,,,,
16,3C132,178.8598,-12.5219,30.16,1.62,25.2278,0.2187,9.8,1.4881,20.36,0.6383,0.4266,0.0118,1.2918,1,0,1,0,1,0.246,0.0318,0.000709835,0.00073441,1,0,0,0,0,0,0,,,,,
31,P0531+19,186.7634,-7.1085,30.36,0.82,28.0547,0.3491,12.34,0.7714,18.02,0.2718,0.3022,0.0085,0.9372,1,0,1,0,0,0,0,0.000583091,0.000636914,0,0,0,1,0,0,1,,,,,
8,3C409,63.3981,-6.1216,31.69,3.53,28.3785,0.2834,5.33,3.4882,26.36,0.549,0.5749,0.026,1.8029,1,1,1,1,1,0.1902,0.24647617,0.000687844,0.000679605,1,0,0,0,0,0,0,,,,,
86,B2050,78.8581,-5.1238,33.86,2.42,27.4539,0.0869,3,2.0238,30.86,1.3301,0.0462,0.0006,0.1432,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
15,3C133,177.7259,-9.9122,35.98,4.05,29.4303,0.4739,9.76,4.0212,26.22,0.4604,0.7719,0.0442,2.4741,1,1,1,1,1,1.2506,0.12029597,0.000711869,0.000777624,1,0,0,0,0,0,0,,,,,
17,3C131,171.4368,-7.7967,36.07,2.07,28.1497,0.6086,14.31,1.8375,21.76,0.9531,0.8347,0.0174,2.6089,1,0,1,1,1,1.3607,0.08086062,0.000904464,0.00100088,1,0,0,0,0,0,0,,,,,
83,3C111,161.6756,-8.8197,36.43,4.42,29.2823,0.2045,3.99,3.7799,32.44,2.2911,1.4217,0.0205,4.4208,0,1,1,-1,-1,-1,-1,-1,999,0,1,0,0,0,0,0,,,,,
27,NRAO140,158.9996697,-18.7650247,37.09,22.97,13.8298,1.0783,16.84,8.0429,20.25,21.5206,0.6138,0.0762,1.9287,1,0,1,-1,0,0,0,0.000830078,0.00100052,0,0,1,0,0,0,0,,,,,
24,3C154,185.5941,4.0066,45.94,14.94,39.9226,0.3187,9.75,14.9369,36.19,0.4923,0.5431,0.0307,1.6651,1,1,1,1,1,0.3749,0.19592746,0.00130049,0.00121596,1,0,0,0,0,0,0,,,,,
63,3C410,69.2117,-3.7691,59.69,6.69,48.3433,0.6858,30.39,6.6415,29.29,0.8142,1.1647,0.0152,3.6498,1,1,1,1,1,0.5503,0.24818408,0.00056183,0.000532251,1,0,0,0,0,0,0,,,,,
47,3C167,207.3119,1.1529,63.68,3.05,54.1642,0.0677,39.25,2.8935,24.43,0.9555,0.5733,0.0105,1.7793,1,0,1,1,1,0.1719,0.3633,0.00568872,0.005613,1,0,0,0,0,0,0,,,,,
3,3C141.0,174.5324,-1.3112,66.65,1.89,51.5374,0.6757,30.05,1.5939,36.6,1.0075,0.537,0.0212,1.7177,1,0,1,-1,0,0,0,0.00545017,0.00526832,0,0,1,0,0,0,0,,,,,
55,T0556+19,190.0893,-2.1665,67.67,40.2,58.4122,0.9987,0.1,0.011,67.57,40.1983,1.2394,0.063,3.682,1,0,1,-1,0,0,0,0.0171093,0.0189978,0,0,1,0,0,0,0,,,,,
78,T0629+10,201.5315,0.5079,75.2,3.61,56.9202,0.2148,47.19,3.2501,28.01,1.563,1.5665,0.2278,4.6689,1,0,1,1,1,7.1103,0.70814535,0.000940211,0.00102542,1,0,0,0,0,0,0,,,,,
26,4C22.12,188.0524,0.047,107.33,19.19,51.4181,0.3207,67.54,18.6434,39.79,4.548,0.823,0.014,2.5495,1,0,1,1,1,0.2969,0.06048446,0.00222208,0.00224361,1,0,0,0,0,0,0,,,,,
14,T0526+24,181.3551,-5.1933,121.74,81.93,39.1362,1.0195,88.56,81.9148,33.18,1.7603,1.0032,0.017,3.1043,1,0,1,1,1,2.524,2.101,0.01979,0.0191681,1,0,0,0,0,0,0,,,,,
