,,,,,N(H) from Dust,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Name,l,b,nhi,nhier,t353(e6),er,tauNH,er,E(B-V),er,ebvNH,er,R(e11),er,rNH,er,Av,OH?,Molecule,Observed-HI-only,Semi-atomic,No-Mol1,No-Mol2,low-N(HI),OK? Atomic
53,3C123,170.5817,-11.661,24.55,4.8,62.9336864222,1.9063554646,87.634529006,4.0738126731,0.8612,0.0252,98.1010144,4.6089094826,9.2353076298,0.3691933619,42.9843540665,2.3336930439,2.6378,1,1,0,0,0,0,0,0
54,4C20.33,20.1848,66.8341,3.52,0.07,1.3447361198,0.0520019512,1.8725315995,0.0979968667,0.036,0.001,4.100832,0.1889326254,0.7361435195,0.0343389926,3.4262695899,0.203436158,0.1131,-1,0,1,0,0,0,0,0
55,T0556+19,190.0893,-2.1665,67.67,40.2,102.495578176,2.1996311261,142.724067654,5.8915364002,1.2394,0.063,141.1825328,8.8560948345,13.4342235469,0.4538089332,62.5275783657,3.1204806873,3.682,0,0,0,1,0,0,0,0
56,P1117+14,240.438,65.7884,1.98,0.02,1.4999289988,0.0443835688,2.0886361315,0.0961454378,0.025,0.0007,2.8478,0.1315857377,0.65048404,0.0256601223,3.0275803914,0.163197732,0.0773,0,0,0,0,0,1,0,1
57,3C264.0,236.9959,73.6422,2.18,0.03,1.636758725,0.0792562105,2.279170157,0.1365252125,0.0201,0.0004,2.2896312,0.0957009333,0.8170659527,0.0449407313,3.8029109168,0.2515321986,0.0622,0,0,0,0,0,1,0,1
58,3C208.1,213.6015,33.583,3.48,0.07,3.1244956062,0.0417630872,4.3508288867,0.1640711778,0.0269,0.0028,3.0642328,0.338255348,0.7446424632,0.0218268982,3.4658266488,0.1628817454,0.0804,0,0,0,0,0,1,0,1
59,3C208.0,213.6628,33.1608,3.77,0.06,3.3816836549,0.0686584372,4.7089606726,0.1916045206,0.0287,0.0009,3.2692744,0.1579564921,0.8782521377,0.0290320784,4.087692837,0.2020091991,0.0902,0,0,0,0,0,1,0,1
60,4C32.44,67.2335,81.0477,1.36,0.09,0.8062842767,0.0222341896,1.1227427924,0.0502589107,0.0133,0.0004,1.5150296,0.0719522761,0.3853277519,0.0146270919,1.7934502222,0.0947385677,0.0413,0,0,0,0,0,1,0,1
61,3C263.1,228.2701,74.3753,2.12,0.06,0.9776407524,0.0363078243,1.3613549712,0.0697175378,0.02,0.0006,2.27824,0.108090517,0.5413395598,0.0245685616,2.5195837804,0.147115622,0.0627,-1,0,1,0,0,0,0,0
62,3C225b,220.0101,44.0084,4.55,0.21,4.9182467592,0.1049388629,6.8486094297,0.2822642361,0.046,0.0027,5.239952,0.3628901684,1.3541804833,0.0456377212,6.3028299325,0.3142113822,0.1462,0,0,0,1,0,0,0,0
63,3C410,69.2117,-3.7691,59.69,6.69,81.4929808257,2.6473353501,113.47816087,5.4406989818,1.1647,0.0152,132.6733064,5.1748053973,19.2141101252,0.8005238234,89.4291934611,4.9674003006,3.6498,1,1,0,0,0,0,0,0
64,P0347+05,182.2737,-35.7311,17.02,0.97,20.7907578442,0.4991288733,28.9509223905,1.2350062673,0.2384,0.0067,27.1566208,1.2565155103,4.9284295756,0.1747249748,22.938636195,1.1710753182,0.75,0,0,0,1,0,0,0,0
65,3C272.1,280.6321,74.6873,3.19,0.05,1.7255877083,0.278553216,2.4028636279,0.3970289998,0.034,0.0018,3.873008,0.2496144505,0.6343812942,0.1037336621,2.9526325765,0.494846459,0.1065,0,0,0,0,0,1,0,1
66,3C225a,219.8662,44.0249,4.24,0.3,3.5338007365,0.0791637831,4.9207821875,0.2055717526,0.0467,0.0032,5.3196904,0.4136494479,1.2594074406,0.0433055552,5.861723021,0.2949475928,0.1451,0,0,0,1,0,0,0,0
67,4C07.32,322.2286,68.835,2.7,0.04,2.3242751013,0.0629738679,3.2365298358,0.1439252976,0.0271,0.0003,3.0870152,0.1185008286,0.7539600233,0.0283574495,3.5091938345,0.184494721,0.0836,0,0,0,0,0,1,0,1
68,3C245,233.1247,56.3009,2.68,0.05,2.2242675186,0.0591915068,3.097270277,0.1368275479,0.0215,0.0008,2.449108,0.1280941094,0.5840833595,0.0217661082,2.7185283841,0.142254495,0.0653,0,0,0,0,1,0,0,1
69,3C93.1,160.0361,-15.9147,15.55,1.32,22.4095892918,0.7363123586,31.2051289929,1.5040073906,0.3287,0.0141,37.4428744,2.1151389359,6.5756478307,0.2758727739,30.6053664808,1.706670145,1.0543,0,0,0,1,0,0,0,0
70,3C348,22.971,29.1769,7.3,0.2,5.7043216657,0.1462017281,7.9432108763,0.3462644251,0.0821,0.0013,9.3521752,0.3742892484,2.0282367075,0.0741743073,9.4401235194,0.4893326095,0.2522,0,0,0,0,1,0,0,1
71,4C13.67,43.4971,9.154,21.36,1.1,45.8690192318,1.3936405594,63.87215059,2.9729992656,0.5526,0.0138,62.9477712,2.7972104092,8.7524625769,0.3504985722,40.7370241949,2.2137647382,1.685,1,1,0,0,0,0,0,0
72,3C286,56.5241,80.6747,1.34,0.09,0.8138968042,0.0490225602,1.1333431609,0.0791012854,0.01,0.0005,1.13912,0.0706897515,0.3001551363,0.0197017324,1.3970270586,0.1050829565,0.0306,0,0,0,0,0,1,0,1
73,4C13.65,39.3151,17.718,11.75,0.19,11.7957424663,0.3890791049,16.425453427,0.7930960763,0.1189,0.0039,13.5441368,0.667230976,4.0045466676,0.1684063132,18.6385617824,1.0407602217,0.374,0,0,0,0,1,0,0,1
74,3C190.0,207.6242,21.8412,3.55,0.05,2.4052344543,0.0312531938,3.3492649252,0.1258650464,0.0263,0.0009,2.9958856,0.150453384,0.7516806733,0.0219069304,3.4985849416,0.1640553564,0.0824,0,0,0,0,0,1,0,1
75,P0320+05,176.9818,-40.8433,14.25,0.61,14.9284969666,0.4449948392,20.787782741,0.9598354715,0.1714,0.002,19.5245168,0.7529379659,3.5727734371,0.1415229149,16.628938047,0.8983558255,0.5387,0,0,0,1,0,0,0,0
76,3C274.1,269.8744,83.1637,3.08,0.05,2.3433215119,0.0151442237,3.2630517722,0.116978301,0.0252,0.0006,2.8705824,0.125713724,0.676277665,0.0181753446,3.14763295,0.1432701824,0.0766,0,0,0,0,1,0,0,1
77,3C207,212.968,30.139,6.72,0.19,10.4897926576,0.4972271199,14.6069313778,0.8629555108,0.0759,0.0042,8.6459208,0.5743568726,2.2876027117,0.1237715315,10.6473036812,0.6963101679,0.2598,1,1,0,0,0,0,0,0
