,,,,,N(H2) vs N(OH),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
#,Name,l,b,nhi,nhier,tauNH,er,tNH2,er,ebver,ebvNH,er,eNH2,er,rNH,er,rNH2,er,Av,OH?,N(OH),er
45,4C19.44,8.9924,73.0418,3.34,0.06,5.8174165832,0.3474318787,1.2387082916,0.1762873438,0.0024,5.7069912,0.3445914864,1.1834956,0.1748880303,5.7564311069,0.3798112662,1.2082155534,0.192260629,0.1556,0,0,0
46,3C353,21.1108,19.877,13.95,0.99,39.1413768596,1.8197614119,12.5956884298,1.0358126757,0.0067,43.1043008,1.7585873045,14.5771504,1.0090502103,26.0832735606,1.4162305363,6.0666367803,0.8639746715,1.19,-1,-1,-1
47,3C167,207.3119,1.1529,63.68,3.05,72.2202646539,2.6761432152,4.270132327,2.0288076861,0.0105,65.3057496,2.6818677128,0.8128748,2.0306965818,45.3188568329,2.1060827957,-9.1805715836,1.8532461212,1.7793,1,0.1719,0.3633
48,3C293,54.6071,76.0603,1.61,0.06,1.8271518814,0.1413725656,0.1085759407,0.0767890003,0.0006,1.5605944,0.0892280714,-0.0247028,0.0537625537,2.1227829443,0.1747040446,0.2563914722,0.0923600336,0.0446,0,0,0
49,3C98-2,179.8288,-31.0241,13.09,0.51,19.2145047795,0.8718642915,3.0622523898,0.5050364697,0.0043,22.269796,0.9539115342,4.589898,0.5408436038,17.230875232,0.9191541496,2.070437616,0.525581666,0.5973,0,0,0
50,3C105,187.6326,-33.609,18.68,1.85,47.1019813287,2.169811014,14.2109906644,1.4257085814,0.0254,45.2572376,3.3374705577,13.2886188,1.9079576596,33.9991512762,1.8336549758,7.6595756381,1.3023815273,1.2716,1,0.4129,0.09861247
51,3C120,190.3729,-27.3968,22.22,2.26,40.7434111135,2.0750300371,9.2617055568,1.5340591298,0.0019,29.0931248,1.091029893,3.4365624,1.2547854625,23.6737574985,1.3764184211,0.7268787493,1.3230766862,0.793,0,0,0
52,CTA21,166.6357,-33.5961,12.19,0.39,14.4686083679,0.7939637397,1.139304184,0.4422890514,0.0041,14.9338632,0.7207127471,1.3719316,0.4097337135,11.9684450272,0.7375767142,-0.1107774864,0.4171688535,0.4059,0,0,0
53,3C123,170.5817,-11.661,24.55,4.8,87.634529006,4.0738126731,31.542264503,3.1478544159,0.0252,98.1010144,4.6089094826,36.7755072,3.3272378416,42.9843540665,2.3336930439,9.2171770333,2.6686196443,2.6378,1,3.4854,0.527911
54,4C20.33,20.1848,66.8341,3.52,0.07,1.8725315995,0.0979968667,-0.8237342003,0.060215002,0.001,4.100832,0.1889326254,0.290416,0.1007416708,3.4262695899,0.203436158,-0.0468652051,0.107571221,0.1131,-1,-1,-1
