 Tpeak    e      tau      e      VLSR   e    DelV    e     Tspin     e     Tkmax      NHI  CNM   Frac   e    Name    OH_compnt
   K      K                      km/s km/s   km/s   km/s     K       K       K   10+20cm-2                            
===========================================================================================================================
 30.63  -88.8    1.080   0.037   -7.6  0.1    6.22  0.16    46.39   8.75     847      6.07   3  -77.7 -77.7  T0526+24 -
 55.00   1.73    0.196   -10.0    0.2  0.7   19.50  0.92   280.00  -88.8    8315     20.89  -9   0.22  0.18  T0526+24 -
 31.38  -88.8    2.809   0.684    2.5  0.0    1.08  0.11    33.39  16.99      25      1.97   2  -77.7 -77.7  T0526+24 -
 43.24  -88.8    1.413   0.076    5.9  0.1    7.86  0.20    57.14  10.05    1352     12.37   1  -77.7 -77.7  T0526+24 -
 54.72  -88.8   39.128  49.972    7.1  0.1    1.20  0.23    54.72   9.54      31     50.11   0  -77.7 -77.7  T0526+24 0
  3.96  -88.8    0.152   0.017  -11.9  0.1    1.29  0.16    28.13   7.36      36      0.11   5  -77.7 -77.7  T0629+10 -
 61.72   2.93    0.206   -10.0    4.5  0.1    8.46  0.32   300.00  -88.8    1563     10.16  -9   0.24  0.18  T0629+10 -
 28.44  -88.8    1.605   0.035    4.9  0.0    4.37  0.06    35.60  14.16     416      4.86   1  -77.7 -77.7  T0629+10 0,1,2,3,4,5,6,7
 46.16  -88.8    0.297   0.005   16.9  0.3   28.11  0.46   179.87   8.78   17273     29.21   3  -77.7 -77.7  T0629+10 -
 13.91  -88.8    0.354   0.017   23.3  0.1    3.03  0.16    46.68  19.93     201      0.98   2  -77.7 -77.7  T0629+10 -
 32.94   2.66    0.150   -10.0   28.1  0.5   18.82  0.73   220.00  -88.8    7739     12.07  -9   0.50  0.29  T0629+10 -
 14.46  -88.8    0.271   0.016   30.9  0.1    2.81  0.26    60.90  13.83     172      0.90   0  -77.7 -77.7  T0629+10 -
 16.34  -88.8    1.285   0.042   33.9  0.0    1.70  0.05    22.59  10.30      63      0.96   4  -77.7 -77.7  T0629+10 -
